SampleName	alias	design	species	url	type	project_id	paper
SRX24465196	HeLa_mRNA_Direct_rep3_fast5	ployA-tailed RNA from HeLa poly-A selected RNA followed by Nanopore Direct RNA sequencing	Homo sapiens	https://sra-pub-src-2.s3.amazonaws.com/SRR28908800/HeLa_Direct_rep3.fast5.tar.gz.1	tar.gz	PRJNA777450	https://www.nature.com/articles/s41467-023-35858-w
SRX24465195	HeLa_mRNA_Direct_rep2_fast5	ployA-tailed RNA from HeLa poly-A selected RNA followed by Nanopore Direct RNA sequencing	Homo sapiens	https://sra-pub-src-2.s3.amazonaws.com/SRR28908801/HeLa_Direct_rep2.fast5.tar.gz.1	tar.gz	PRJNA777450	https://www.nature.com/articles/s41467-023-35858-w
SRX24465194	HeLa_mRNA_Direct_rep1_fast5	ployA-tailed RNA from HeLa poly-A selected RNA followed by Nanopore Direct RNA sequencing	Homo sapiens	https://sra-pub-src-2.s3.amazonaws.com/SRR28908802/HeLa_Direct_rep1.fast5.tar.gz.1	tar.gz	PRJNA777450	https://www.nature.com/articles/s41467-023-35858-w
SRX19759221	HeLa_mRNA_IVT_rep3_fast5	IVT ployA-tailed RNA from HeLa poly-A selected RNA followed by Nanopore Direct RNA sequencing	Homo sapiens	https://sra-pub-src-1.s3.amazonaws.com/SRR23950398/HeLa_IVT_rep3_fast5.tar.gz.1	tar.gz	PRJNA777450	https://www.nature.com/articles/s41467-023-35858-w
SRX19759220	HeLa_mRNA_IVT_rep2_fast5	IVT ployA-tailed RNA from HeLa poly-A selected RNA followed by Nanopore Direct RNA sequencing	Homo sapiens	https://sra-pub-src-1.s3.amazonaws.com/SRR23950399/HeLa_IVT_rep2_fast5.tar.gz.1	tar.gz	PRJNA777450	https://www.nature.com/articles/s41467-023-35858-w
SRX19759219	HeLa_mRNA_IVT_rep1_fast5	IVT ployA-tailed RNA from HeLa poly-A selected RNA followed by Nanopore Direct RNA sequencing	Homo sapiens	https://sra-pub-src-1.s3.amazonaws.com/SRR23950400/HeLa_IVT_rep1_fast5.tar.gz.1	tar.gz	PRJNA777450	https://www.nature.com/articles/s41467-023-35858-w
SRX18603118	HeLa_mRNA_direct1_fast5	ployA-tailed Total RNA from HeLa followed by Nanopore Direct RNA sequencing	Homo sapiens	https://sra-pub-src-2.s3.amazonaws.com/SRR22630809/HeLa_mRNA_direct_rep1.tar.gz.1	tar.gz	PRJNA777450	https://www.nature.com/articles/s41467-023-35858-w
SRX18603116	syn0_fast5	Synthetic constructs	synthetic construct	https://sra-pub-src-2.s3.amazonaws.com/SRR22630810/synthetic_direct_0PsiModification.tar.gz.1	tar.gz	PRJNA777450	https://www.nature.com/articles/s41467-023-35858-w
SRX18545397	HeLa_mRNA_IVT2_fast5	IVT ployA-tailed Total RNA from HeLa followed by Nanopore Direct RNA sequencing	Homo sapiens	https://sra-pub-src-1.s3.amazonaws.com/SRR22582388/HeLa_mRNA_IVT_rep2.tar.gz.1	tar.gz	PRJNA777450	https://www.nature.com/articles/s41467-023-35858-w
SRX18545396	HeLa_mRNA_IVT1_fast5	IVT ployA-tailed Total RNA from HeLa followed by Nanopore Direct RNA sequencing	Homo sapiens	https://sra-pub-src-2.s3.amazonaws.com/SRR22582389/HeLa_mRNA_IVT_rep1.tar.gz.1	tar.gz	PRJNA777450	https://www.nature.com/articles/s41467-023-35858-w
SRX18545395	HeLa_mRNA_direct3_fast5	ployA-tailed Total RNA from HeLa followed by Nanopore Direct RNA sequencing	Homo sapiens	https://sra-pub-src-2.s3.amazonaws.com/SRR22582390/HeLa_mRNA_direct_rep3_1_.tar.gz.1	tar.gz	PRJNA777450	https://www.nature.com/articles/s41467-023-35858-w
SRX18545394	HeLa_mRNA_direct2_fast5	ployA-tailed Total RNA from HeLa followed by Nanopore Direct RNA sequencing	Homo sapiens	https://sra-pub-src-1.s3.amazonaws.com/SRR22582391/HeLa_mRNA_direct_rep2.tar.gz.1	tar.gz	PRJNA777450	https://www.nature.com/articles/s41467-023-35858-w
SRX18545393	HeLa_rRNA_IVT_fast5	IVT ployA-tailed Total RNA from HeLa followed by Nanopore Direct RNA sequencing	Homo sapiens	https://sra-pub-src-2.s3.amazonaws.com/SRR22582392/HeLa_rRNA_IVT.tar.gz.1	tar.gz	PRJNA777450	https://www.nature.com/articles/s41467-023-35858-w
SRX18545392	HeLa_rRNA_direct_fast5	ployA-tailed Total RNA from HeLa followed by Nanopore Direct RNA sequencing	Homo sapiens	https://sra-pub-src-1.s3.amazonaws.com/SRR22582393/HeLa_rRNA_direct.tar.gz.1	tar.gz	PRJNA777450	https://www.nature.com/articles/s41467-023-35858-w
SRX18545391	syn100_fast5	synthetic 1,000-mer sequence with the middle nucleotide being pseudouridine	synthetic construct	https://sra-pub-src-1.s3.amazonaws.com/SRR22582394/synthetic_direct_100PsiModification.tar.gz.1	tar.gz	PRJNA777450	https://www.nature.com/articles/s41467-023-35858-w
